Participant,Block,Group,Condition,Task,Response,A,W,ID,N,Skewness,Kurtosis,IsNormal,Ae,We,IDe,MT,Misses,Throughput
m01,1,etdata,Mouse,2D,Serial,150.000000,40.000000,2.247928,9,-0.405962,0.156672,False,300.873136,20.566313,3.966192,755.826957,0,5.247487
m01,2,etdata,Mouse,2D,Serial,150.000000,80.000000,1.523562,11,0.678419,1.958662,False,369.869791,64.611868,2.749424,608.342041,0,4.519537
m01,3,etdata,Mouse,2D,Serial,300.000000,40.000000,3.087463,9,0.570330,0.344771,False,661.279948,33.055974,4.392651,654.520226,0,6.711253
m01,4,etdata,Mouse,2D,Serial,300.000000,80.000000,2.247928,10,0.228273,-0.833430,False,654.811404,67.791056,3.414035,758.506427,0,4.500997
M02,1,etdata,Mouse,2D,Serial,150.000000,40.000000,2.247928,11,0.452734,-0.923589,False,365.208483,35.100328,3.511557,1159.791162,0,3.027749
M02,2,etdata,Mouse,2D,Serial,150.000000,80.000000,1.523562,11,0.011228,-1.818751,False,353.843729,38.478236,3.349924,1277.872313,0,2.621485
M02,3,etdata,Mouse,2D,Serial,300.000000,40.000000,3.087463,11,-0.029282,-1.371102,False,645.536528,22.778217,4.874801,1192.752319,0,4.087019
M02,4,etdata,Mouse,2D,Serial,300.000000,80.000000,2.247928,11,0.090055,-1.404995,False,652.903196,63.273583,3.500641,1160.520462,0,3.016440
M03,1,etdata,Mouse,2D,Serial,150.000000,40.000000,2.247928,11,-0.473521,-1.524342,False,369.123899,31.415475,3.672397,1014.412607,0,3.620220
M03,2,etdata,Mouse,2D,Serial,150.000000,80.000000,1.523562,11,1.308663,2.835284,True,363.321232,55.454317,2.916806,596.735824,0,4.887934
M03,3,etdata,Mouse,2D,Serial,300.000000,40.000000,3.087463,11,-0.929759,0.611546,False,643.010110,38.028043,4.162600,879.530528,1,4.732752
M03,4,etdata,Mouse,2D,Serial,300.000000,80.000000,2.247928,11,0.389737,-1.220593,False,643.907328,48.142285,3.845499,656.795936,0,5.854937
M05,1,etdata,Mouse,2D,Serial,150.000000,40.000000,2.247928,11,-0.216488,-1.244271,False,362.746407,45.295000,3.171292,800.680950,1,3.960743
M05,2,etdata,Mouse,2D,Serial,150.000000,80.000000,1.523562,11,-0.201258,-0.874289,False,364.819706,55.028376,2.931620,798.066954,0,3.673401
M05,3,etdata,Mouse,2D,Serial,300.000000,40.000000,3.087463,11,1.132303,1.015666,False,643.613792,54.631928,3.675919,826.925229,2,4.445285
M05,4,etdata,Mouse,2D,Serial,300.000000,80.000000,2.247928,11,-0.245685,-1.693429,False,644.887660,84.917832,3.103373,715.613922,0,4.336658
S01,1,etdata,Space,2D,Serial,150.000000,40.000000,2.247928,11,0.430757,-1.616398,False,201.460011,461.505318,0.522586,606.805679,11,0.861208
S01,2,etdata,Space,2D,Serial,150.000000,80.000000,1.523562,11,0.055357,-0.479505,False,209.487557,459.642444,0.541775,520.140451,9,1.041593
S01,3,etdata,Space,2D,Serial,300.000000,40.000000,3.087463,10,0.118987,-1.471898,False,329.367569,872.340386,0.462123,550.497439,10,0.839465
S01,4,etdata,Space,2D,Serial,300.000000,80.000000,2.247928,10,0.116323,-1.757365,False,335.178948,925.623685,0.445845,577.159815,10,0.772481
s02,1,etdata,Space,2D,Serial,150.000000,40.000000,2.247928,11,-0.128592,-1.394314,False,223.515841,481.286204,0.550323,568.614704,11,0.967831
s02,2,etdata,Space,2D,Serial,150.000000,80.000000,1.523562,10,-0.271460,-0.946770,False,286.375527,386.039163,0.800604,500.392492,10,1.599952
s02,3,etdata,Space,2D,Serial,300.000000,40.000000,3.087463,8,0.825143,-0.336839,False,290.668938,1008.905840,0.365248,502.495590,8,0.726868
s02,4,etdata,Space,2D,Serial,300.000000,80.000000,2.247928,9,-0.063517,-1.525147,False,346.839565,949.273868,0.449296,498.505541,9,0.901285
S03,1,etdata,Space,2D,Serial,150.000000,40.000000,2.247928,11,-0.849728,-0.287281,False,211.346321,489.992441,0.517352,1765.011562,11,0.293115
S03,2,etdata,Space,2D,Serial,150.000000,80.000000,1.523562,11,-0.450811,-0.780012,False,189.801155,513.996441,0.453402,1687.689719,11,0.268653
S03,3,etdata,Space,2D,Serial,300.000000,40.000000,3.087463,9,-0.296325,-1.042718,False,498.057692,908.791155,0.630447,813.541413,9,0.774941
S03,4,etdata,Space,2D,Serial,300.000000,80.000000,2.247928,7,0.347999,-1.081241,False,769.404157,1416.893704,0.625758,638.616788,7,0.979865
S04,1,etdata,Space,2D,Serial,150.000000,40.000000,2.247928,11,0.167779,-0.767598,False,157.901868,2528.605511,0.087390,602.204310,11,0.145117
S04,2,etdata,Space,2D,Serial,150.000000,80.000000,1.523562,9,-0.049452,-1.208647,False,280.126881,2172.512941,0.174971,565.236460,9,0.309553
